"","V1","Dimension1.score","depth.score","scope.score"
"phi_1_1",1040,-0.958,1.537,2.892
"phi_2_1",1045,0.999,-0.491,-0.259
"phi_3_1",1050,0.659,1.084,0.549
"phi_4_1",1055,0.81,-0.484,2.662
"phi_5_1",1060,0.791,-0.51,1.489
"phi_6_1",1065,0.828,-0.565,2.227
"phi_7_1",1070,-1.021,0.024,2.091
"phi_8_1",1075,0.762,-0.066,-0.551
"phi_9_1",1080,0.749,-0.482,-0.281
"phi_10_1",1085,0.754,-0.48,1.244
"phi_11_1",1090,0.72,-0.491,1.084
"phi_12_1",1095,0.84,-0.531,-0.209
"phi_13_1",1100,0.924,0.041,1.472
"phi_14_1",1110,1.026,-0.494,2.829
"phi_15_1",1115,0.918,-0.511,-0.273
"phi_16_1",1120,0.946,0.033,1.573
"phi_17_1",1125,0.651,0.906,0.139
"phi_18_1",1135,0.661,-0.014,0.744
"phi_20_1",1145,0.713,0.011,1.804
"phi_21_1",1160,0.924,0.413,0.141
"phi_22_1",1165,0.822,-0.49,2.373
"phi_23_1",1170,0.802,0.013,2.181
"phi_24_1",1175,0.687,0.4,1.778
"phi_25_1",1180,0.931,0.332,1.894
"phi_26_1",1185,0.757,-0.452,-0.266
"phi_27_1",1190,0.917,-0.482,0.37
"phi_28_1",1195,0.926,-0.496,1.122
"phi_29_1",1200,-1.327,-0.48,-0.638
"phi_30_1",1205,-1.173,-0.471,0.493
"phi_31_1",1210,0.785,1.074,1.305
"phi_32_1",1215,0.881,-0.568,-0.315
"phi_33_1",1220,-1.296,0.348,-0.126
"phi_34_1",1225,0.877,-0.509,2.574
"phi_36_1",1230,0.66,-0.054,2.427
"phi_37_1",1235,-1.386,-0.486,-0.128
"phi_38_1",1240,-1.438,-0.359,0.555
"phi_39_1",1245,0.726,0.129,2.533
"phi_40_1",1255,-1.193,0.568,2.383
"phi_41_1",1260,-1.268,0.016,1.922
"phi_42_1",1265,0.706,-0.569,2.509
"phi_43_1",1270,0.738,-0.545,-0.345
"phi_44_1",1275,0.617,-0.533,1.312
"phi_45_1",1280,0.604,-0.563,1.324
"phi_46_1",1285,0.614,-0.51,1.821
"phi_47_1",1287,0.62,1.091,1.949
"phi_49_1",1295,0.826,-0.508,1.535
"phi_50_1",1300,0.814,-0.48,1.548
"phi_51_1",1305,-1.36,-0.561,-0.122
"phi_52_1",1310,0.74,-0.049,0.272
"phi_53_1",1315,0.905,-0.49,-0.618
"phi_54_1",1325,0.804,-0.538,-0.254
"phi_55_1",1330,0.766,0.409,1.6
"phi_56_1",1335,0.687,-0.56,0.432
"phi_57_1",1340,0.836,-0.522,-0.316
"phi_58_1",1345,0.6,-0.476,-0.73
"phi_59_1",1350,0.801,-0.439,0.12
"phi_60_1",1355,0.802,-0.568,-0.348
"phi_61_1",1360,0.906,-0.519,-0.268
"phi_62_1",1365,0.904,-0.545,-0.335
"phi_63_1",1370,0.748,-0.566,-0.33
"phi_64_1",1375,0.898,-0.555,2.028
"phi_65_1",1380,0.767,-0.555,-0.369
"phi_66_1",1385,0.711,0.421,0.66
"phi_67_1",1390,-1.062,0.406,2.551
"phi_68_1",1395,0.754,0.349,1.206
"phi_69_1",1400,0.714,-0.543,0.774
"phi_70_1",1410,0.61,-0.52,-0.275
"phi_71_1",1415,0.821,-0.261,1.748
"phi_72_1",1420,0.706,-0.536,-0.418
"phi_73_1",1430,0.659,-0.548,-0.283
"phi_74_1",1435,0.765,-0.561,-0.251
"phi_75_1",1440,0.768,-0.049,0.359
"phi_76_1",1445,0.849,-0.448,-0.292
"phi_77_1",1450,-1.268,0.109,-0.319
"phi_78_1",1455,0.893,-0.479,-0.275
"phi_79_1",1460,0.775,-0.545,-0.27
"phi_80_1",1465,0.848,-0.521,-0.244
"phi_81_1",1467,-1.417,-0.372,-0.561
"phi_82_1",1470,-1.272,-0.053,1.845
"phi_83_1",1475,-1.254,-0.539,0.335
"phi_84_1",1485,0.771,-0.488,-0.584
"phi_85_1",1490,-1.198,0.525,2.077
"phi_86_1",2005,0.736,-0.571,1.216
"phi_87_1",2010,-1.081,-0.554,0.558
"phi_88_1",2012,0.674,-0.553,-0.127
"phi_89_1",2013,0.755,-0.549,-0.129
"phi_90_1",2015,0.922,-0.493,-0.153
"phi_91_1",2020,0.737,-0.228,-0.06
"phi_92_1",2025,1.059,0.225,2.513
"phi_93_1",2030,0.927,1.631,2.399
"phi_94_1",2035,0.854,-0.482,0.215
"phi_95_1",2040,1.06,2.068,2.502
"phi_96_1",2045,0.747,0.655,2.488
"phi_97_1",2050,-1.06,-0.49,0.138
"phi_98_1",2055,0.685,2.636,0.531
"phi_99_1",2060,0.65,1.74,0.498
"phi_100_1",2070,-1.053,-0.513,0.026
"phi_101_1",2075,-1.194,0.683,0.271
"phi_102_1",2080,-1.109,-0.473,0.17
"phi_103_1",2085,-1.139,-0.483,0.162
"phi_104_1",2090,-1.245,-0.353,-0.547
"phi_105_1",2095,1.058,-0.507,-0.33
"phi_106_1",2100,-1.119,-0.477,-0.545
"phi_107_1",2110,-1.2,-0.054,-0.433
"phi_108_1",2115,0.655,-0.464,-0.675
"phi_109_1",2120,0.769,-0.521,-0.348
"phi_110_1",2125,0.671,-0.487,-0.664
"phi_111_1",2130,0.947,-0.479,0.446
"phi_112_1",2135,0.737,-0.483,0.442
"phi_113_1",2140,0.724,-0.501,0.418
"phi_114_1",2145,0.648,-0.533,-0.592
"phi_115_1",2150,0.784,-0.514,-0.581
"phi_116_1",2155,-1.18,-0.475,-0.56
"phi_117_1",2160,0.707,-0.176,-0.68
"phi_118_1",2165,0.65,0.316,-0.551
"phi_119_1",2170,0.665,-0.519,-0.638
"phi_120_1",2175,0.633,-0.485,-0.666
"phi_121_1",2185,0.666,-0.498,-0.576
"phi_122_1",2195,0.799,-0.484,-0.581
"phi_123_1",2200,0.828,-0.161,-0.649
"phi_124_1",2205,0.723,-0.517,-0.343
"phi_125_1",2210,-1.114,-0.501,-0.647
"phi_126_1",2218,-1.073,0.849,-0.657
"phi_127_1",2220,0.717,-0.18,-0.585
"phi_128_1",2230,0.708,-0.168,-0.683
"phi_129_1",2235,-1.147,-0.161,-0.594
"phi_130_1",2245,-1.199,-0.172,-0.591
"phi_131_1",2250,-1.147,-0.507,-0.66
"phi_132_1",2260,0.732,-0.179,-0.564
"phi_133_1",2275,-1.145,-0.181,-0.572
"phi_134_1",2280,0.799,-0.144,-0.641
"phi_135_1",2295,0.802,-0.174,-0.63
"phi_136_1",2300,0.868,-0.159,-0.635
"phi_137_1",2302,-0.986,-0.023,-0.591
"phi_138_1",2305,0.777,-0.504,-0.646
"phi_139_1",2315,-1.103,-0.195,-0.587
"phi_140_1",2330,-0.931,-0.486,0.086
"phi_141_1",2335,0.707,-0.493,-0.587
"phi_142_1",2340,-1.389,-0.233,-0.637
"phi_143_1",2345,-1.225,-0.325,-0.681
"phi_144_1",2350,0.655,-0.485,-0.272
"phi_145_1",2355,0.795,-0.466,-0.272
"phi_146_1",2360,0.917,-0.5,0.16
"phi_147_1",2365,0.856,-0.52,-0.023
"phi_148_1",2370,0.79,-0.506,-0.178
"phi_149_1",2375,-1.181,-0.018,-0.635
"phi_150_1",2380,0.806,-0.252,-0.58
"phi_151_1",2385,0.667,2.433,-0.283
"phi_152_1",2395,0.979,-0.177,-0.405
"phi_153_1",2405,0.587,-0.518,-0.68
"phi_154_1",2410,-0.956,-0.485,-0.744
"phi_155_1",2415,0.834,-0.52,-0.591
"phi_156_1",2420,1.036,-0.492,0.595
"phi_158_1",2430,0.814,-0.495,-0.589
"phi_159_1",2435,-0.987,-0.505,-0.593
"phi_160_1",2440,0.716,-0.29,0.134
"phi_161_1",2445,0.848,0.279,1.637
"phi_162_1",2450,0.809,-0.507,-0.587
"phi_163_1",2455,0.831,-0.477,-0.574
"phi_164_1",2460,0.823,-0.495,-0.597
"phi_165_1",2465,0.612,-0.481,1.009
"phi_166_1",2470,0.967,-0.513,-0.572
"phi_167_1",2475,0.789,1.196,0.214
"phi_168_1",2480,0.797,1.213,0.21
"phi_169_1",2485,0.838,1.203,0.221
"phi_170_1",2490,0.897,-0.485,0.875
"phi_171_1",2505,0.779,-0.474,-0.632
"phi_172_1",2510,0.781,-0.478,-0.591
"phi_173_1",2515,1.051,-0.176,0.206
"phi_174_1",2520,0.785,-0.497,-0.592
"phi_175_1",2525,0.857,-0.483,-0.658
"phi_176_1",2535,0.826,-0.49,2.395
"phi_177_1",2540,0.887,-0.473,2.275
"phi_178_1",2545,0.702,-0.484,1.733
"phi_179_1",2550,1.333,-0.459,2.434
"phi_180_1",2555,0.862,0.422,0.282
"phi_181_1",2560,0.772,2.165,-0.069
"phi_182_1",2563,0.735,-0.471,2.354
"phi_183_1",2565,-1.068,1.663,-0.579
"phi_184_1",2570,0.727,0.383,2.415
"phi_185_1",2571,1.031,0.365,2.427
"phi_186_1",2575,0.806,-0.377,2.279
"phi_187_1",2580,0.812,2.056,2.477
"phi_188_1",3005,1.091,-0.495,2.312
"phi_189_1",3010,1.196,-0.498,-0.226
"phi_190_1",3015,-0.975,0.464,-0.61
"phi_191_1",3020,0.728,-0.489,2.331
"phi_192_1",3025,0.721,-0.484,2.375
"phi_193_1",3030,0.774,0.936,2.442
"phi_194_1",3035,-1.094,-0.507,0.984
"phi_195_1",3040,0.726,2.656,-0.251
"phi_196_1",3045,-1.126,-0.499,1.86
"phi_197_1",3050,-1.205,-0.511,0.064
"phi_198_1",3055,0.791,-0.502,1.897
"phi_199_1",3060,-0.922,-0.461,1.839
"phi_200_1",3065,-1.262,0.28,-0.528
"phi_201_1",3075,1.281,-0.299,-0.072
"phi_202_1",3080,0.881,0.816,-0.349
"phi_203_1",3085,-1.026,-0.353,-0.021
"phi_204_1",3090,-1.041,-0.471,-0.04
"phi_205_1",3095,-1.021,-0.484,1.77
"phi_206_1",3100,-1.129,-0.505,-0.017
"phi_207_1",3105,-1.135,-0.371,-0.039
"phi_208_1",3110,-1.123,-0.498,-0.033
"phi_209_1",3115,0.819,-0.513,1.836
"phi_210_1",3120,0.814,-0.509,1.854
"phi_211_1",3125,0.83,3.619,-0.542
"phi_212_1",3130,0.941,0.205,0.286
"phi_213_1",3135,0.806,-0.481,1.847
"phi_214_1",3140,0.84,-0.481,0.125
"phi_215_1",3145,-1.06,-0.497,1.865
"phi_216_1",3150,1.265,0.502,0.223
"phi_217_1",3155,-0.975,-0.491,0.446
"phi_218_1",3160,-0.98,-0.505,1.833
"phi_219_1",3165,-1.154,-0.516,1.856
"phi_220_1",3170,-1.062,-0.482,1.845
"phi_221_1",3175,-1.026,-0.479,1.85
"phi_222_1",3180,1.169,-0.18,0.134
"phi_223_1",3185,-1.136,-0.507,1.859
"phi_224_1",3200,0.779,-0.311,1.068
"phi_225_1",3205,-0.971,1.656,-0.277
"phi_226_1",3210,1.057,-0.471,-0.052
"phi_227_1",3215,1.082,-0.148,-0.045
"phi_228_1",3220,0.977,1.229,0.035
"phi_229_1",3230,-0.966,0.108,-0.679
"phi_230_1",3235,0.756,2.186,0.356
"phi_231_1",3240,0.982,0.403,-0.038
"phi_232_1",3245,0.783,2.548,0.528
"phi_233_1",3255,-1.027,-0.492,-0.682
"phi_234_1",3260,1.19,-0.171,-0.045
"phi_235_1",3265,0.812,-0.497,-0.335
"phi_236_1",3270,0.907,0.422,0.009
"phi_237_1",3275,0.989,-0.179,-0.673
"phi_238_1",3280,0.865,2.077,-0.23
"phi_239_1",3285,1.086,0.923,0.087
"phi_240_1",3290,0.923,2.39,0.049
"phi_241_1",3295,0.777,-0.345,-0.363
"phi_242_1",3300,-1.044,3.392,-0.259
"phi_243_1",3305,-1.096,2.799,-0.27
"phi_244_1",3310,-1.059,2.815,-0.26
"phi_245_1",3315,0.732,-0.52,-0.587
"phi_246_1",3322,0.81,-0.479,2.447
"phi_247_1",3325,-1.464,-0.481,-0.17
"phi_248_1",3330,0.765,2.012,0.704
"phi_249_1",3340,-1.317,1.721,1.722
"phi_250_1",3345,-1.226,1.787,1.726
"phi_251_1",3350,-1.19,-0.488,-0.089
"phi_252_1",3355,1.061,0.027,-0.384
"phi_253_1",3360,0.978,0.056,-0.375
"phi_254_1",3365,1.079,0.019,-0.388
"phi_255_1",3370,1.069,0.047,-0.525
"phi_256_1",3375,0.994,0.698,-0.265
"phi_257_1",3385,0.664,2.919,-0.227
"phi_258_1",3390,0.823,2.847,-0.156
"phi_259_1",3395,0.847,2.347,-0.104
"phi_260_1",3400,-0.902,3.703,-0.203
"phi_261_1",3405,0.893,0.391,0.553
"phi_262_1",3410,0.777,4.097,-0.142
"phi_263_1",3423,0.822,0.717,-0.196
"phi_264_1",3430,-1.241,-0.005,-0.193
"phi_265_1",3435,0.743,1.718,-0.595
"phi_266_1",3440,0.818,-0.482,-0.169
"phi_267_1",3445,0.764,-0.338,-0.088
"phi_268_1",3455,-0.93,0.01,-0.263
"phi_269_1",3460,1.289,-0.497,-0.52
"phi_272_1",3470,0.714,1.455,-0.588
"phi_273_1",3475,0.753,1.267,-0.584
"phi_274_1",3480,1.034,2.799,-0.443
"phi_276_1",3490,-1.177,0.801,-0.118
"phi_277_1",3500,0.768,-0.483,0.045
"phi_278_1",3505,0.753,2.123,0.371
"phi_279_1",3520,0.702,-0.479,0.449
"phi_280_1",3525,-1.332,1.19,0.543
"phi_281_1",3535,0.883,-0.492,0.453
"phi_283_1",3540,-0.957,-0.526,0.439
"phi_284_1",3545,-0.955,-0.44,0.445
"phi_285_1",3550,-0.979,-0.515,0.06
"phi_286_1",3555,-0.957,-0.514,0.046
"phi_287_1",3560,0.859,-0.481,-0.253
"phi_288_1",3565,-1.017,-0.471,0.052
"phi_289_1",3570,-0.967,0.988,-0.267
"phi_290_1",3575,-1.026,-0.453,-0.031
"phi_291_1",3580,0.84,-0.526,-0.257
"phi_292_1",3585,0.81,1.607,-0.67
"phi_293_1",3590,-1.243,0.123,0.434
"phi_294_1",3595,-1.048,-0.475,0.074
"phi_295_1",3600,-1.014,-0.477,0.08
"phi_296_1",3605,-1.051,-0.485,0.074
"phi_297_1",3610,-1.01,-0.453,-0.163
"phi_298_1",3620,-1.145,-0.478,-0.254
"phi_299_1",3625,0.697,-0.463,-0.26
"phi_300_1",3630,0.699,-0.49,-0.291
"phi_301_1",3635,0.841,2.913,-0.526
"phi_302_1",3642,0.881,-0.34,-0.568
"phi_303_1",3645,-1.109,-0.485,-0.185
"phi_304_1",3650,-1.181,-0.491,-0.187
"phi_306_1",3665,1.039,-0.335,-0.595
"phi_307_1",3670,0.904,0.844,-0.669
"phi_308_1",3675,0.909,-0.344,-0.642
"phi_309_1",3680,-1.11,-0.469,-0.163
"phi_310_1",3685,-0.878,-0.349,-0.643
"phi_311_1",3690,0.849,-0.365,-0.657
"phi_312_1",3695,-1.073,-0.498,-0.185
"phi_315_1",3730,0.79,2.534,-0.378
"phi_316_1",3735,0.976,0.709,-0.673
"phi_317_1",3745,0.876,-0.492,-0.265
"phi_319_1",3750,0.943,3.553,0.201
"phi_320_1",3758,-1.082,0.292,-0.254
"phi_321_1",3760,0.986,-0.303,-0.585
"phi_322_1",3765,0.936,-0.357,-0.667
"phi_323_1",3770,-1.09,-0.491,-0.262
"phi_324_1",3775,0.881,-0.35,-0.675
"phi_325_1",3780,-1.019,-0.471,-0.248
"phi_326_1",3785,-1.018,0.431,-0.457
"phi_327_1",3790,0.689,1.613,-0.101
"phi_328_1",3795,0.846,1.329,-0.214
"phi_329_1",3800,-1.08,-0.483,-0.27
"phi_330_1",3805,-1.054,-0.48,-0.267
"phi_331_1",3807,-0.98,-0.488,0.139
"phi_332_1",3820,-1.15,-0.344,-0.66
"phi_333_1",3825,0.788,-0.478,-0.576
"phi_334_1",3830,0.633,0.728,-0.392
"phi_335_1",3835,0.788,-0.349,-0.691
"phi_336_1",3840,0.752,-0.354,-0.69
"phi_338_1",3845,-0.957,-0.365,-0.685
"phi_339_1",3855,0.919,-0.314,-0.689
"phi_340_1",3860,-1.287,0.38,-0.099
"phi_341_1",3863,-1.22,1.078,1.972
"phi_342_1",3865,-0.969,-0.02,-0.498
"phi_343_1",3870,-1.06,-0.347,-0.674
"phi_344_1",3875,-1.074,-0.362,-0.679
"phi_345_1",3880,0.855,-0.336,-0.687
"phi_346_1",3890,0.803,-0.349,-0.687
"phi_347_1",3895,-0.847,0.442,-0.012
"phi_350_1",3905,-1.097,-0.493,-0.663
"phi_351_1",3910,0.779,-0.495,-0.666
"phi_352_1",3915,-1.153,-0.5,-0.671
"phi_353_1",3920,-1.183,-0.349,-0.684
"phi_354_1",3925,0.883,0.245,0.919
"phi_355_1",3930,-1.487,1.809,1.739
"phi_356_1",3955,-1.063,-0.184,-0.542
"phi_357_1",3960,-1.13,-0.017,0.046
"phi_358_1",3963,-1.226,-0.183,-0.227
"phi_359_1",3970,-1.071,-0.354,-0.659
"phi_361_1",3995,-1.004,-0.028,-0.176
"phi_362_1",4005,0.867,0.15,-0.687
"phi_363_1",4010,0.919,-0.347,-0.677
"phi_364_1",4015,0.927,-0.341,-0.671
"phi_365_1",4020,-0.784,0.748,0.119
"phi_366_1",4025,0.76,-0.334,-0.709
"phi_367_1",4030,-1.113,1.323,-0.441
"phi_368_1",4035,0.765,-0.303,-0.682
"phi_369_1",4045,-0.848,0.123,-0.689
"phi_370_1",4050,-0.864,-0.212,-0.7
"phi_371_1",4060,0.725,0.129,-0.72
"phi_372_1",4065,-0.888,-0.508,-0.673
"phi_373_1",4070,0.77,0.099,-0.676
"phi_374_1",4075,-0.961,-0.325,-0.673
"phi_375_1",4080,-1.031,0.137,-0.685
"phi_376_1",4085,-1.027,-0.341,-0.754
"phi_377_1",4090,0.753,-0.481,-0.673
"phi_378_1",4095,-0.839,-0.333,-0.654
"phi_379_1",4100,-0.857,-0.331,-0.681
"phi_380_1",4105,0.747,-0.333,-0.698
"phi_381_1",4110,-0.97,-0.517,-0.76
"phi_382_1",4120,-0.923,-0.354,-0.67
"phi_383_1",4130,0.811,0.864,-0.697
"phi_384_1",4135,-0.888,-0.357,-0.7
"phi_385_1",4145,0.729,-0.481,-0.66
"phi_386_1",4150,-1.111,-0.041,-0.721
"phi_387_1",4155,-0.901,0.128,-0.676
"phi_388_1",4160,-0.926,0.138,-0.65
"phi_389_1",4165,0.757,-0.337,-0.664
"phi_390_1",4170,0.863,-0.353,-0.674
"phi_392_1",4180,0.729,0.124,-0.692
"phi_393_1",4185,0.785,-0.332,-0.656
"phi_394_1",4190,-1.033,0.125,-0.678
"phi_395_1",4195,-1.07,-0.193,-0.673
"phi_396_1",4200,0.773,-0.476,-0.667
"phi_397_1",4205,-0.819,-0.325,-0.673
"phi_398_1",4210,-0.921,-0.331,-0.644
"phi_399_1",4215,0.718,0.138,-0.693
"phi_400_1",4220,0.969,0.684,-0.287
"phi_401_1",4225,-0.931,-0.333,-0.666
"phi_402_1",4230,0.747,-0.505,-0.68
"phi_403_1",4235,0.734,0.644,-0.295
"phi_404_1",4240,0.838,0.111,-0.681
"phi_405_1",4245,0.736,0.743,0.345
"phi_406_1",4250,-0.929,-0.529,-0.678
"phi_407_1",4255,0.748,1.343,-0.333
"phi_408_1",4260,0.787,0.113,-0.669
"phi_409_1",4270,0.906,-0.522,-0.571
"phi_410_1",4275,-1.048,-0.342,-0.675
"phi_411_1",4280,-1.069,-0.493,-0.679
"phi_412_1",4285,-1.055,-0.489,-0.675
"phi_413_1",4290,-1.116,-0.464,-0.589
"phi_414_1",4295,-1.24,-0.323,1.175
"phi_415_1",4300,0.741,0.754,-0.297
"phi_416_1",4305,0.732,-0.505,-0.662
"phi_417_1",4310,-1.196,-0.336,-0.579
"phi_418_1",4315,-1.209,-0.312,-0.573
"phi_419_1",4320,-1.196,-0.342,-0.58
"phi_420_1",4325,-1.199,-0.505,-0.698
"phi_421_1",4330,0.759,0.147,-0.678
"phi_423_1",4340,-0.967,-0.327,-0.67
"phi_424_1",4345,-0.979,-0.343,-0.589
"phi_425_1",4350,-0.88,0.167,-0.668
"phi_426_1",4370,-1.166,-0.352,-0.538
"phi_427_1",4380,-1.191,-0.357,-0.686
"phi_428_1",4400,0.972,1.077,-0.472
"phi_429_1",4405,-1.049,-0.494,-0.698
"phi_430_1",4410,0.674,-0.042,-0.713
"phi_431_1",4415,0.798,-0.359,-0.695
"phi_432_1",4420,0.678,-0.336,-0.702
"phi_433_1",4425,-1.306,-0.197,-0.674
"phi_434_1",4430,-1.234,-0.006,-0.581
"phi_435_1",4435,-1.087,-0.478,-0.677
"phi_436_1",4440,0.67,-0.042,-0.687
"phi_437_1",4445,0.692,0.139,-0.674
"phi_438_1",4455,-1.09,-0.497,-0.666
"phi_439_1",4460,-1.121,-0.49,-0.715
"phi_440_1",4465,-0.963,0.145,-0.68
"phi_441_1",4470,0.687,2.864,-0.319
"phi_442_1",4475,0.761,-0.474,-0.514
"phi_443_1",4480,-0.925,-0.303,-0.663
"phi_444_1",4485,0.77,-0.499,-0.585
"phi_445_1",4490,-1.042,-0.316,-0.671
"phi_446_1",4500,0.701,-0.279,-0.688
"phi_447_1",4505,0.698,-0.318,-0.699
"phi_448_1",4510,-1.145,-0.504,-0.704
"phi_449_1",4515,-1.165,-0.174,-0.665
"phi_450_1",4525,0.726,0.105,-0.682
"phi_451_1",4535,0.688,0.118,-0.691
"phi_452_1",4540,0.634,0.112,-0.7
"phi_453_1",4545,-1.109,-0.352,-0.651
